configuration,ul_inner_mm,ul_middle_mm,ul_outer_mm,uphi_inner_deg,uphi_middle_deg,uphi_outer_deg,tip_x_mm,tip_y_mm,tip_z_mm,tip_distance_from_origin_mm
aligned_curvatures,250.0,200.0,120.0,0.0,0.0,0.0,-93.9234180073503,150.79596707925663,56.56623095708909,186.44240564378708
middle_rotated_90deg,250.0,200.0,120.0,0.0,90.0,0.0,29.1363859874111,150.40690060721488,-6.398402603280832,153.33657194077898
opposed_curved_tubes,300.0,240.0,150.0,0.0,0.0,180.0,115.12469186759817,-156.95850055193182,108.76422738847674,222.97830103517356
