id,inner_length_mm,middle_length_mm,outer_length_mm,middle_curved_mm,outer_curved_mm,middle_curvature_per_m,outer_curvature_per_m,screen_score
t071,345.9987,176.5702,90.4574,79.2669,55.3199,19.2718,14.1501,-0.17647034267409917
t072,354.2706,174.3599,81.9969,56.627,66.0738,23.6137,11.8956,-1.1617241572466965
t073,354.5542,181.8644,89.2854,68.6488,51.859,24.4808,16.8005,-0.06964226841793653
t074,345.013,172.0714,82.4185,84.7089,69.2533,18.4047,13.0431,-0.01915138076703171
t075,349.9158,178.1359,86.9987,57.7054,58.3145,19.8575,14.6128,-0.17995121820837723
t076,350.3547,175.8469,84.5353,78.1492,50.2924,22.3785,12.3701,-0.9741693127057374
t077,351.8092,177.2569,80.7795,76.5205,45.7489,23.909,15.4949,-0.09952614017762695
t078,348.5382,173.5616,90.7431,60.4603,63.145,19.636,11.7404,-1.010694532560658
t079,346.526,179.4855,83.1863,87.465,64.7023,21.2529,15.9365,0.16599321307531767
t080,353.2743,171.2862,88.553,67.0212,56.6847,22.0802,13.6908,-0.8609955542733294
t081,353.3703,176.8485,91.3838,56.8043,62.0437,22.5112,15.6905,-0.04595089761862381
t082,346.3483,173.1499,80.3435,80.1108,46.6486,19.9472,13.4479,-0.2529340341007459
t083,348.7119,179.1206,87.5707,72.1155,54.4651,18.276,14.8782,-0.24368597508921985
t084,351.7098,170.9246,83.9398,82.3051,66.7325,24.3943,11.121,-0.8993856029238144
t085,350.4885,181.5229,81.7075,88.2986,68.3461,21.9891,14.0142,0.10070523301882472
t086,349.6977,171.7332,89.8385,64.9923,52.9554,21.122,11.7686,-1.1600517822307992
t087,345.2247,177.7507,85.5879,72.9888,48.2696,19.7243,16.5724,-0.16862534012464092
t088,354.4146,175.4584,86.128,62.7991,60.5388,24.0363,12.8182,-0.9355815010447837
t089,354.0928,179.9571,85.1658,66.1047,46.4566,24.9059,14.6761,-0.8186838938894236
t090,346.0946,170.2462,87.2998,87.2151,62.2412,18.8546,12.4189,-0.6755575191978891
t091,348.8097,176.2286,82.8792,59.5311,63.7993,20.2528,16.6602,-0.17843762981816436
t092,350.8307,174.0216,89.4164,76.2918,57.3932,22.8584,12.9176,-0.8996402825694974
t093,351.9532,178.4201,88.6491,78.9973,52.7626,23.5123,15.9778,0.0919958204539737
t094,347.7642,174.6193,83.6118,57.887,68.5457,19.158,13.7235,-0.1642849435500353
t095,347.3147,180.6486,91.0558,85.5698,57.6062,20.8296,15.3413,0.28942174846595903
t096,353.1059,172.3439,81.4219,68.809,51.1953,21.6288,11.5958,-1.1940559392884742
t097,352.5858,181.1311,86.8336,74.1926,65.6782,18.9397,13.3278,-0.04687239704103352
t098,347.1462,172.8297,84.7005,62.5158,55.7271,23.2932,15.5704,0.1423866171970255
t099,347.9473,178.9058,89.1203,89.5194,47.9136,21.8471,11.329,-1.1287716808300008
t100,352.4879,175.1018,82.5837,64.6923,60.9863,21.0488,15.0862,-0.18456957192694656
t101,350.9748,176.5034,83.3515,70.7043,59.2738,18.6363,12.0293,-0.13879165156936846
t102,349.2272,174.2932,88.3879,82.381,49.327,24.6867,14.2748,-0.8281890420128539
t103,345.6917,180.2287,80.9447,55.3765,54.0098,23.0766,12.6571,-1.0239201720306583
t105,354.8712,178.0164,80.6165,83.4946,56.3113,21.3404,12.3046,-1.0765511699929036
t106,345.3297,175.7274,91.6558,69.6218,65.0886,22.2083,14.5618,-0.10960857492792742
t107,349.6073,181.7918,84.4294,76.9388,63.5275,23.8179,13.1315,-0.6746275679656721
t108,350.0466,171.9988,88.0597,58.6828,45.3778,19.5051,16.8741,-0.777385348678433
t109,351.5023,179.6006,90.2923,61.4035,49.909,20.1655,13.9784,-0.252769391911803
t110,348.2309,171.4013,82.1621,75.2762,58.685,22.7304,16.2327,0.07198853284594642
t111,346.844,177.325,86.412,67.9601,69.6277,24.1761,11.4288,-0.8709130526556715
t112,353.5925,173.6298,85.8724,86.2163,51.4732,18.0568,15.1743,-0.530247495700737
t113,350.0,170.0,80.0,90.0,65.0,19.745,14.2275,-0.011480807695663398
t114,350.0,170.0,80.0,90.0,65.0,19.745,13.915,0.030169029285268767
t115,350.0,170.0,80.0,90.0,65.0,20.495,13.915,0.005275521621886825
